task,after_stream_small-linear,after_stream_tiny,final
small-linear_T1_000,-0.6443,-1.9926,-0.6443
small-linear_T2_000,-0.6443,-2.1399,-0.6443
small-linear_T3_000,-0.5261,-2.4759,-0.5216
small-linear_T4_000,-1.8813,-2.4672,-1.8804
tiny_T1_000,-0.3419,-0.0001,-0.3419
tiny_T1_001,-0.3419,-0.6752,-0.3419
tiny_T2_000,-0.3419,-0.0002,-0.3419
tiny_T2_001,-0.3419,-0.0134,-0.3419
tiny_T3_000,-0.3419,-0.3701,-0.3419
tiny_T3_001,-0.3419,-0.3696,-0.3419
tiny_T4_000,-0.3419,-0.3449,-0.3419
tiny_T4_001,-0.3419,-0.3419,-0.3419
